642.23,234,50,4,8,8,4,8,0,0,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,2,2,6.179,2.546,1.033
974.33,354,76,6,12,12,6,12,0,0,0,0,0,0,0,6,6,0,12,0,0,0,0,0,0,2,3,5.851,2.94,0.832
1306.44,474,102,8,16,16,8,16,0,0,0,0,0,0,0,8,8,0,16,0,0,0,0,0,0,2,4,5.669,3.156,0.737
1638.55,594,128,10,20,20,10,20,0,0,0,0,0,0,0,10,10,0,20,0,0,0,0,0,0,2,5,5.552,3.294,0.688
1970.65,714,154,12,24,24,12,24,0,0,0,0,0,0,0,12,12,0,24,0,0,0,0,0,0,2,6,5.473,3.384,0.667
2302.76,834,180,14,28,28,14,28,0,0,0,0,0,0,0,14,14,0,28,0,0,0,0,0,0,2,7,5.405,3.461,0.653
2634.87,954,206,16,32,32,16,32,0,0,0,0,0,0,0,16,16,0,32,0,0,0,0,0,0,2,8,5.351,3.523,0.637
2966.97,1074,232,18,36,36,18,36,0,0,0,0,0,0,0,18,18,0,36,0,0,0,0,0,0,2,9,5.306,3.574,0.628
3299.08,1194,258,20,40,40,20,40,0,0,0,0,0,0,0,20,20,0,40,0,0,0,0,0,0,2,10,5.269,3.617,0.617
666.23,242,52,4,8,8,4,8,0,0,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,4,2,6.141,2.603,1.048
1022.33,370,80,6,12,12,6,12,0,0,0,0,0,0,0,6,6,0,12,0,0,0,0,0,0,4,3,5.823,2.99,0.863
1378.44,498,108,8,16,16,8,16,0,0,0,0,0,0,0,8,8,0,16,0,0,0,0,0,0,4,4,5.648,3.205,0.777
1734.55,626,136,10,20,20,10,20,0,0,0,0,0,0,0,10,10,0,20,0,0,0,0,0,0,4,5,5.532,3.344,0.731
2090.65,754,164,12,24,24,12,24,0,0,0,0,0,0,0,12,12,0,24,0,0,0,0,0,0,4,6,5.448,3.444,0.703
2446.76,882,192,14,28,28,14,28,0,0,0,0,0,0,0,14,14,0,28,0,0,0,0,0,0,4,7,5.384,3.521,0.684
2802.87,1010,220,16,32,32,16,32,0,0,0,0,0,0,0,16,16,0,32,0,0,0,0,0,0,4,8,5.334,3.582,0.671
3158.97,1138,248,18,36,36,18,36,0,0,0,0,0,0,0,18,18,0,36,0,0,0,0,0,0,4,9,5.292,3.629,0.662
3515.08,1266,276,20,40,40,20,40,0,0,0,0,0,0,0,20,20,0,40,0,0,0,0,0,0,4,10,5.256,3.668,0.655
690.23,250,54,4,8,8,4,8,0,0,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,6,2,6.115,2.665,1.057
1070.33,386,84,6,12,12,6,12,0,0,0,0,0,0,0,6,6,0,12,0,0,0,0,0,0,6,3,5.808,3.054,0.882
1450.44,522,114,8,16,16,8,16,0,0,0,0,0,0,0,8,8,0,16,0,0,0,0,0,0,6,4,5.64,3.262,0.805
